,k_PCG,time_pcg,k_CG,time_cg,num_subdomains,n_cells,overlap
0,11,0.05193066596984863,21,0.017226219177246094,4,256,15
1,11,0.1718587875366211,42,0.06254196166992188,4,1024,15
2,11,0.43381524085998535,64,0.2353501319885254,4,2304,15
3,12,1.0338404178619385,85,0.8829593658447266,4,4096,15
4,12,2.8156352043151855,99,2.6748766899108887,4,6400,15
